p,r,n,poly,factorization
9629,2,3,x^6 + x^5 + 19,2^3 * 3^3 * 5 * 7 * 13 * 29 * 83 * 107 * 223 * 138577 * 1018981
9629,2,4,x^8 + x^7 + 21,2^5 * 3^2 * 5 * 29 * 83 * 107 * 9929089 * 46358821 * 432897769
9629,2,5,x^10 + x^9 + 19,2^3 * 3^2 * 5^2 * 11 * 29 * 61 * 83 * 107 * 6151 * 26881 * 1048417801 * 127066608881
9629,2,6,x^12 + x^11 + 98,2^4 * 3^3 * 5 * 7 * 13 * 29 * 83 * 107 * 223 * 373 * 138577 * 1018981 * 46358821 * 23047080053317
9629,2,7,x^14 + x^13 + 10,2^3 * 3^2 * 5 * 29 * 83 * 107 * 60761 * 104651 * 7615503765358123727 * 13119198780815059451
9629,2,8,x^16 + x^15 + 85,2^6 * 3^2 * 5 * 17 * 29 * 83 * 107 * 9929089 * 46358821 * 432897769 * 1103370353 * 1969923069079655536081
9629,2,9,x^18 + x^17 + 70,2^3 * 3^4 * 5 * 7 * 13 * 19 * 29 * 37 * 83 * 107 * 223 * 2557 * 2953 * 138577 * 899893 * 1018981 * 2057913973 * 21541968979435949988403
9629,2,10,x^20 + x^19 + 177,2^4 * 3^2 * 5^2 * 11 * 29 * 61 * 83 * 107 * 601 * 6151 * 26881 * 4339901 * 46358821 * 1048417801 * 127066608881 * 140466058361 * 201708313621
9629,3,2,x^6 + x^5 + 19,2^3 * 3^3 * 5 * 7 * 13 * 29 * 83 * 107 * 223 * 138577 * 1018981
9629,3,3,x^9 + x^8 + 8,2^2 * 7 * 13 * 29 * 37 * 83 * 1018981 * 21541968979435949988403
9629,3,4,x^12 + x^11 + 98,2^4 * 3^3 * 5 * 7 * 13 * 29 * 83 * 107 * 223 * 373 * 138577 * 1018981 * 46358821 * 23047080053317
9629,3,5,x^15 + x^14 + 21,2^2 * 7 * 11 * 13 * 29 * 31 * 83 * 211 * 6151 * 1018981 * 127066608881 * 37159318244791 * 304013242852051
9629,3,6,x^18 + x^17 + 70,2^3 * 3^4 * 5 * 7 * 13 * 19 * 29 * 37 * 83 * 107 * 223 * 2557 * 2953 * 138577 * 899893 * 1018981 * 2057913973 * 21541968979435949988403
9629,4,2,x^8 + x^7 + 21,2^5 * 3^2 * 5 * 29 * 83 * 107 * 9929089 * 46358821 * 432897769
9629,4,3,x^12 + x^11 + 98,2^4 * 3^3 * 5 * 7 * 13 * 29 * 83 * 107 * 223 * 373 * 138577 * 1018981 * 46358821 * 23047080053317
9629,4,4,x^16 + x^15 + 85,2^6 * 3^2 * 5 * 17 * 29 * 83 * 107 * 9929089 * 46358821 * 432897769 * 1103370353 * 1969923069079655536081
9629,4,5,x^20 + x^19 + 177,2^4 * 3^2 * 5^2 * 11 * 29 * 61 * 83 * 107 * 601 * 6151 * 26881 * 4339901 * 46358821 * 1048417801 * 127066608881 * 140466058361 * 201708313621
9629,5,2,x^10 + x^9 + 19,2^3 * 3^2 * 5^2 * 11 * 29 * 61 * 83 * 107 * 6151 * 26881 * 1048417801 * 127066608881
9629,5,3,x^15 + x^14 + 21,2^2 * 7 * 11 * 13 * 29 * 31 * 83 * 211 * 6151 * 1018981 * 127066608881 * 37159318244791 * 304013242852051
9629,5,4,x^20 + x^19 + 177,2^4 * 3^2 * 5^2 * 11 * 29 * 61 * 83 * 107 * 601 * 6151 * 26881 * 4339901 * 46358821 * 1048417801 * 127066608881 * 140466058361 * 201708313621
9629,6,2,x^12 + x^11 + 98,2^4 * 3^3 * 5 * 7 * 13 * 29 * 83 * 107 * 223 * 373 * 138577 * 1018981 * 46358821 * 23047080053317
9629,6,3,x^18 + x^17 + 70,2^3 * 3^4 * 5 * 7 * 13 * 19 * 29 * 37 * 83 * 107 * 223 * 2557 * 2953 * 138577 * 899893 * 1018981 * 2057913973 * 21541968979435949988403
9629,7,2,x^14 + x^13 + 10,2^3 * 3^2 * 5 * 29 * 83 * 107 * 60761 * 104651 * 7615503765358123727 * 13119198780815059451
9629,8,2,x^16 + x^15 + 85,2^6 * 3^2 * 5 * 17 * 29 * 83 * 107 * 9929089 * 46358821 * 432897769 * 1103370353 * 1969923069079655536081
9629,9,2,x^18 + x^17 + 70,2^3 * 3^4 * 5 * 7 * 13 * 19 * 29 * 37 * 83 * 107 * 223 * 2557 * 2953 * 138577 * 899893 * 1018981 * 2057913973 * 21541968979435949988403
9629,10,2,x^20 + x^19 + 177,2^4 * 3^2 * 5^2 * 11 * 29 * 61 * 83 * 107 * 601 * 6151 * 26881 * 4339901 * 46358821 * 1048417801 * 127066608881 * 140466058361 * 201708313621
