p,r,n,poly,factorization
9349,2,2,x^4 + x^3 + 34,2^4 * 3 * 5^2 * 11 * 17 * 19 * 41 * 797 * 54833
9349,2,3,x^6 + x^5 + 33,2^3 * 3^2 * 5^2 * 7 * 11 * 17 * 19 * 41 * 163 * 193 * 25537 * 452821
9349,2,4,x^8 + x^7 + 32,2^5 * 3 * 5^2 * 11 * 17 * 19 * 41 * 797 * 1217 * 54833 * 3138629592953
9349,2,5,x^10 + x^9 + 50,2^3 * 3 * 5^3 * 11 * 17 * 19 * 41 * 1471 * 213611 * 4861921 * 7640241654796301
9349,2,6,x^12 + x^11 + 77,2^4 * 3^2 * 5^2 * 7 * 11 * 13 * 17 * 19 * 41 * 163 * 193 * 797 * 25537 * 54833 * 452821 * 587648026295677
9349,2,7,x^14 + x^13 + 161,2^3 * 3 * 5^2 * 11 * 17 * 19 * 41 * 71 * 113 * 743 * 5231297 * 29788571 * 37914647 * 882784757 * 14339546831
9349,2,8,x^16 + x^15 + 179,2^6 * 3 * 5^2 * 11 * 17 * 19 * 41 * 797 * 1217 * 1601 * 54833 * 459994753 * 3138629592953 * 39622974303815738417
9349,2,9,x^18 + x^17 + 127,2^3 * 3^3 * 5^2 * 7 * 11 * 17 * 19 * 37 * 41 * 163 * 193 * 307 * 433 * 25537 * 452821 * 247083283 * 237907150849 * 514022118991003106749
9349,2,10,x^20 + x^19 + 23,2^4 * 3 * 5^3 * 11 * 17 * 19 * 41 * 101 * 797 * 1471 * 54833 * 71081 * 213611 * 4861921 * 7640241654796301 * 8129173082900446355660821
9349,3,2,x^6 + x^5 + 33,2^3 * 3^2 * 5^2 * 7 * 11 * 17 * 19 * 41 * 163 * 193 * 25537 * 452821
9349,3,3,x^9 + x^8 + 24,2^2 * 3^3 * 7 * 19 * 41 * 163 * 433 * 25537 * 514022118991003106749
9349,3,4,x^12 + x^11 + 77,2^4 * 3^2 * 5^2 * 7 * 11 * 13 * 17 * 19 * 41 * 163 * 193 * 797 * 25537 * 54833 * 452821 * 587648026295677
9349,3,5,x^15 + x^14 + 23,2^2 * 3^2 * 7 * 19 * 31 * 41 * 61 * 163 * 1381 * 25537 * 70981 * 2433721 * 129353061422731 * 7640241654796301
9349,3,6,x^18 + x^17 + 127,2^3 * 3^3 * 5^2 * 7 * 11 * 17 * 19 * 37 * 41 * 163 * 193 * 307 * 433 * 25537 * 452821 * 247083283 * 237907150849 * 514022118991003106749
9349,4,2,x^8 + x^7 + 32,2^5 * 3 * 5^2 * 11 * 17 * 19 * 41 * 797 * 1217 * 54833 * 3138629592953
9349,4,3,x^12 + x^11 + 77,2^4 * 3^2 * 5^2 * 7 * 11 * 13 * 17 * 19 * 41 * 163 * 193 * 797 * 25537 * 54833 * 452821 * 587648026295677
9349,4,4,x^16 + x^15 + 179,2^6 * 3 * 5^2 * 11 * 17 * 19 * 41 * 797 * 1217 * 1601 * 54833 * 459994753 * 3138629592953 * 39622974303815738417
9349,4,5,x^20 + x^19 + 23,2^4 * 3 * 5^3 * 11 * 17 * 19 * 41 * 101 * 797 * 1471 * 54833 * 71081 * 213611 * 4861921 * 7640241654796301 * 8129173082900446355660821
9349,5,2,x^10 + x^9 + 50,2^3 * 3 * 5^3 * 11 * 17 * 19 * 41 * 1471 * 213611 * 4861921 * 7640241654796301
9349,5,3,x^15 + x^14 + 23,2^2 * 3^2 * 7 * 19 * 31 * 41 * 61 * 163 * 1381 * 25537 * 70981 * 2433721 * 129353061422731 * 7640241654796301
9349,5,4,x^20 + x^19 + 23,2^4 * 3 * 5^3 * 11 * 17 * 19 * 41 * 101 * 797 * 1471 * 54833 * 71081 * 213611 * 4861921 * 7640241654796301 * 8129173082900446355660821
9349,6,2,x^12 + x^11 + 77,2^4 * 3^2 * 5^2 * 7 * 11 * 13 * 17 * 19 * 41 * 163 * 193 * 797 * 25537 * 54833 * 452821 * 587648026295677
9349,6,3,x^18 + x^17 + 127,2^3 * 3^3 * 5^2 * 7 * 11 * 17 * 19 * 37 * 41 * 163 * 193 * 307 * 433 * 25537 * 452821 * 247083283 * 237907150849 * 514022118991003106749
9349,7,2,x^14 + x^13 + 161,2^3 * 3 * 5^2 * 11 * 17 * 19 * 41 * 71 * 113 * 743 * 5231297 * 29788571 * 37914647 * 882784757 * 14339546831
9349,8,2,x^16 + x^15 + 179,2^6 * 3 * 5^2 * 11 * 17 * 19 * 41 * 797 * 1217 * 1601 * 54833 * 459994753 * 3138629592953 * 39622974303815738417
9349,9,2,x^18 + x^17 + 127,2^3 * 3^3 * 5^2 * 7 * 11 * 17 * 19 * 37 * 41 * 163 * 193 * 307 * 433 * 25537 * 452821 * 247083283 * 237907150849 * 514022118991003106749
9349,10,2,x^20 + x^19 + 23,2^4 * 3 * 5^3 * 11 * 17 * 19 * 41 * 101 * 797 * 1471 * 54833 * 71081 * 213611 * 4861921 * 7640241654796301 * 8129173082900446355660821
