p,r,n,poly,factorization
6983,2,5,x^10 + x^9 + 15,2^4 * 3^2 * 11 * 31 * 71 * 97 * 101 * 3491 * 74101 * 102001 * 962971 * 317658541
6983,2,6,x^12 + x^11 + 30,2^5 * 3^3 * 5 * 7 * 13 * 17 * 37 * 61 * 97 * 331 * 373 * 769 * 1327 * 3491 * 6967039 * 2998437301081
6983,2,7,x^14 + x^13 + 10,2^4 * 3^2 * 29 * 97 * 127 * 421 * 2003 * 3491 * 4741911090081859 * 912822513123646799521
6983,2,8,x^16 + x^15 + 71,2^7 * 3^2 * 5 * 17 * 97 * 373 * 769 * 3491 * 20897 * 26737 * 4315873 * 9040033 * 44465737153 * 3467238573377
6983,2,9,x^18 + x^17 + 175,2^4 * 3^4 * 7 * 19 * 37 * 97 * 331 * 1327 * 3491 * 3907 * 42283 * 6967039 * 4128128353 * 492747244723 * 701847969630697
6983,2,10,x^20 + x^19 + 141,2^5 * 3^2 * 5^2 * 11 * 17 * 31 * 71 * 97 * 101 * 241 * 373 * 769 * 3491 * 15361 * 74101 * 102001 * 962971 * 317658541 * 112692672941 * 2710404510481
6983,3,2,x^6 + x^5 + 20,2^4 * 3^3 * 7 * 37 * 97 * 331 * 1327 * 3491 * 6967039
6983,3,3,x^9 + x^8 + 50,2 * 7 * 3491 * 3907 * 42283 * 6967039 * 701847969630697
6983,3,4,x^12 + x^11 + 30,2^5 * 3^3 * 5 * 7 * 13 * 17 * 37 * 61 * 97 * 331 * 373 * 769 * 1327 * 3491 * 6967039 * 2998437301081
6983,3,5,x^15 + x^14 + 107,2 * 7 * 11 * 31 * 71 * 3491 * 102001 * 962971 * 6967039 * 559000548091 * 10112578480655399251
6983,3,6,x^18 + x^17 + 175,2^4 * 3^4 * 7 * 19 * 37 * 97 * 331 * 1327 * 3491 * 3907 * 42283 * 6967039 * 4128128353 * 492747244723 * 701847969630697
6983,4,2,x^8 + x^7 + 40,2^6 * 3^2 * 5 * 17 * 97 * 373 * 769 * 3491 * 26737 * 44465737153
6983,4,3,x^12 + x^11 + 30,2^5 * 3^3 * 5 * 7 * 13 * 17 * 37 * 61 * 97 * 331 * 373 * 769 * 1327 * 3491 * 6967039 * 2998437301081
6983,4,4,x^16 + x^15 + 71,2^7 * 3^2 * 5 * 17 * 97 * 373 * 769 * 3491 * 20897 * 26737 * 4315873 * 9040033 * 44465737153 * 3467238573377
6983,4,5,x^20 + x^19 + 141,2^5 * 3^2 * 5^2 * 11 * 17 * 31 * 71 * 97 * 101 * 241 * 373 * 769 * 3491 * 15361 * 74101 * 102001 * 962971 * 317658541 * 112692672941 * 2710404510481
6983,5,2,x^10 + x^9 + 15,2^4 * 3^2 * 11 * 31 * 71 * 97 * 101 * 3491 * 74101 * 102001 * 962971 * 317658541
6983,5,3,x^15 + x^14 + 107,2 * 7 * 11 * 31 * 71 * 3491 * 102001 * 962971 * 6967039 * 559000548091 * 10112578480655399251
6983,5,4,x^20 + x^19 + 141,2^5 * 3^2 * 5^2 * 11 * 17 * 31 * 71 * 97 * 101 * 241 * 373 * 769 * 3491 * 15361 * 74101 * 102001 * 962971 * 317658541 * 112692672941 * 2710404510481
6983,6,2,x^12 + x^11 + 30,2^5 * 3^3 * 5 * 7 * 13 * 17 * 37 * 61 * 97 * 331 * 373 * 769 * 1327 * 3491 * 6967039 * 2998437301081
6983,6,3,x^18 + x^17 + 175,2^4 * 3^4 * 7 * 19 * 37 * 97 * 331 * 1327 * 3491 * 3907 * 42283 * 6967039 * 4128128353 * 492747244723 * 701847969630697
6983,7,2,x^14 + x^13 + 10,2^4 * 3^2 * 29 * 97 * 127 * 421 * 2003 * 3491 * 4741911090081859 * 912822513123646799521
6983,8,2,x^16 + x^15 + 71,2^7 * 3^2 * 5 * 17 * 97 * 373 * 769 * 3491 * 20897 * 26737 * 4315873 * 9040033 * 44465737153 * 3467238573377
6983,9,2,x^18 + x^17 + 175,2^4 * 3^4 * 7 * 19 * 37 * 97 * 331 * 1327 * 3491 * 3907 * 42283 * 6967039 * 4128128353 * 492747244723 * 701847969630697
6983,10,2,x^20 + x^19 + 141,2^5 * 3^2 * 5^2 * 11 * 17 * 31 * 71 * 97 * 101 * 241 * 373 * 769 * 3491 * 15361 * 74101 * 102001 * 962971 * 317658541 * 112692672941 * 2710404510481
