p,e,n,poly,factorization
5441,2,8,x^16 + x^15 + 30,2^10 * 3 * 5 * 17 * 89 * 907 * 1193 * 13417 * 307609 * 2144033 * 4453937 * 14802241 * 40218352506571441
5441,2,9,x^18 + x^17 + 241,2^7 * 3^3 * 5 * 7 * 17 * 19 * 127 * 631 * 907 * 1753 * 2089 * 4723 * 63793 * 1131991831 * 36324504883 * 135574519680091099
5441,2,10,x^20 + x^19 + 158,2^8 * 3 * 5^2 * 11 * 17 * 31 * 131 * 601 * 907 * 318001 * 1912241 * 11079781 * 14802241 * 9409976951 * 69326394832118071030381
5441,3,2,x^6 + x^5 + 24,2^7 * 3^2 * 5 * 7 * 17 * 19 * 127 * 907 * 1753 * 2089 * 4723
5441,3,3,x^9 + x^8 + 15,2^6 * 5 * 7 * 17 * 19 * 127 * 631 * 1753 * 1131991831 * 36324504883
5441,3,4,x^12 + x^11 + 105,2^8 * 3^2 * 5 * 7 * 13 * 17 * 19 * 127 * 907 * 1753 * 2089 * 4723 * 27997 * 14802241 * 2408019721
5441,3,5,x^15 + x^14 + 220,2^6 * 5^2 * 7 * 17 * 19 * 31 * 61 * 127 * 601 * 1753 * 6361 * 127861651 * 9409976951 * 15479411392754191
5441,3,6,x^18 + x^17 + 241,2^7 * 3^3 * 5 * 7 * 17 * 19 * 127 * 631 * 907 * 1753 * 2089 * 4723 * 63793 * 1131991831 * 36324504883 * 135574519680091099
5441,3,7,x^21 + x^20 + 79,2^6 * 5 * 7^2 * 17 * 19 * 43 * 71 * 127 * 1753 * 2143 * 102402763 * 170557830004240799 * 21836685248493902754764898669760207
5441,4,2,x^8 + x^7 + 6,2^9 * 3 * 5 * 17 * 89 * 907 * 1193 * 13417 * 307609 * 14802241
5441,4,3,x^12 + x^11 + 105,2^8 * 3^2 * 5 * 7 * 13 * 17 * 19 * 127 * 907 * 1753 * 2089 * 4723 * 27997 * 14802241 * 2408019721
5441,4,4,x^16 + x^15 + 30,2^10 * 3 * 5 * 17 * 89 * 907 * 1193 * 13417 * 307609 * 2144033 * 4453937 * 14802241 * 40218352506571441
5441,4,5,x^20 + x^19 + 158,2^8 * 3 * 5^2 * 11 * 17 * 31 * 131 * 601 * 907 * 318001 * 1912241 * 11079781 * 14802241 * 9409976951 * 69326394832118071030381
5441,5,2,x^10 + x^9 + 55,2^7 * 3 * 5^2 * 11 * 17 * 31 * 131 * 601 * 907 * 318001 * 1912241 * 9409976951
5441,5,3,x^15 + x^14 + 220,2^6 * 5^2 * 7 * 17 * 19 * 31 * 61 * 127 * 601 * 1753 * 6361 * 127861651 * 9409976951 * 15479411392754191
5441,5,4,x^20 + x^19 + 158,2^8 * 3 * 5^2 * 11 * 17 * 31 * 131 * 601 * 907 * 318001 * 1912241 * 11079781 * 14802241 * 9409976951 * 69326394832118071030381
5441,6,2,x^12 + x^11 + 105,2^8 * 3^2 * 5 * 7 * 13 * 17 * 19 * 127 * 907 * 1753 * 2089 * 4723 * 27997 * 14802241 * 2408019721
5441,6,3,x^18 + x^17 + 241,2^7 * 3^3 * 5 * 7 * 17 * 19 * 127 * 631 * 907 * 1753 * 2089 * 4723 * 63793 * 1131991831 * 36324504883 * 135574519680091099
5441,7,2,x^14 + x^13 + 96,2^7 * 3 * 5 * 17 * 71 * 701 * 907 * 2143 * 4159 * 729877 * 12190904447 * 170557830004240799
5441,7,3,x^21 + x^20 + 79,2^6 * 5 * 7^2 * 17 * 19 * 43 * 71 * 127 * 1753 * 2143 * 102402763 * 170557830004240799 * 21836685248493902754764898669760207
5441,8,2,x^16 + x^15 + 30,2^10 * 3 * 5 * 17 * 89 * 907 * 1193 * 13417 * 307609 * 2144033 * 4453937 * 14802241 * 40218352506571441
5441,9,2,x^18 + x^17 + 241,2^7 * 3^3 * 5 * 7 * 17 * 19 * 127 * 631 * 907 * 1753 * 2089 * 4723 * 63793 * 1131991831 * 36324504883 * 135574519680091099
5441,10,2,x^20 + x^19 + 158,2^8 * 3 * 5^2 * 11 * 17 * 31 * 131 * 601 * 907 * 318001 * 1912241 * 11079781 * 14802241 * 9409976951 * 69326394832118071030381
